,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1011,Arsenal,Jens Lehmann,GER,GK,40,1969,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,,,,,
ENG-Premier League,1011,Arsenal,Manuel Almunia,ESP,GK,33,1977,8,8,720,8.0,10,1.25,29,19,65.5,4,3,1,2,25.0,,,,,
ENG-Premier League,1011,Arsenal,Wojciech Szczęsny,POL,GK,20,1990,15,15,1350,15.0,19,1.27,65,46,70.8,6,5,4,6,40.0,,,,,
ENG-Premier League,1011,Arsenal,Łukasz Fabiański,POL,GK,25,1985,14,14,1260,14.0,14,1.0,52,38,73.1,9,2,3,5,35.7,,,,,
ENG-Premier League,1011,Aston Villa,Brad Friedel,USA,GK,39,1971,38,38,3420,38.0,59,1.55,189,130,68.8,12,12,14,7,18.4,,,,,
ENG-Premier League,1011,Birmingham City,Ben Foster,ENG,GK,27,1983,38,38,3369,37.4,55,1.47,250,195,78.0,8,15,14,9,23.7,,,,,
ENG-Premier League,1011,Birmingham City,Colin Doyle,IRL,GK,25,1985,1,0,51,0.6,3,5.29,7,4,57.1,0,0,1,0,,,,,,
ENG-Premier League,1011,Blackburn Rovers,Mark Bunn,ENG,GK,25,1984,3,2,225,2.5,4,1.6,14,10,71.4,2,0,1,0,0.0,,,,,
ENG-Premier League,1011,Blackburn Rovers,Paul Robinson,ENG,GK,30,1979,36,36,3195,35.5,55,1.55,180,125,69.4,9,10,16,8,22.2,,,,,
ENG-Premier League,1011,Blackpool,Mark Halstead,ENG,GK,19,1990,1,0,25,0.3,0,0.0,4,4,100.0,0,0,0,0,,,,,,
ENG-Premier League,1011,Blackpool,Matt Gilks,SCO,GK,28,1982,18,18,1575,17.5,35,2.0,101,66,65.3,5,5,7,3,16.7,,,,,
ENG-Premier League,1011,Blackpool,Paul Rachubka,ENG,GK,29,1981,2,1,125,1.4,7,5.04,16,9,56.3,0,0,2,0,0.0,,,,,
ENG-Premier League,1011,Blackpool,Richard Kingson,GHA,GK,32,1978,20,19,1695,18.8,38,2.02,119,81,68.1,5,4,10,3,15.8,,,,,
ENG-Premier League,1011,Bolton Wanderers,Jussi Jääskeläinen,FIN,GK,35,1975,35,35,3097,34.4,50,1.45,174,124,71.3,12,8,14,5,14.3,,,,,
ENG-Premier League,1011,Bolton Wanderers,Ádám Bogdán,HUN,GK,22,1987,4,3,323,3.6,6,1.67,19,13,68.4,0,2,2,0,0.0,,,,,
ENG-Premier League,1011,Chelsea,Petr Čech,CZE,GK,28,1982,38,38,3420,38.0,33,0.87,148,115,77.7,21,8,9,15,39.5,,,,,
ENG-Premier League,1011,Everton,Tim Howard,USA,GK,31,1979,38,38,3420,38.0,45,1.18,153,108,70.6,13,15,10,9,23.7,,,,,
ENG-Premier League,1011,Fulham,David Stockdale,ENG,GK,24,1985,7,7,630,7.0,6,0.86,29,23,79.3,2,4,1,3,42.9,,,,,
ENG-Premier League,1011,Fulham,Mark Schwarzer,AUS,GK,37,1972,31,31,2790,31.0,37,1.19,142,105,73.9,9,12,10,11,35.5,,,,,
ENG-Premier League,1011,Liverpool,Pepe Reina,ESP,GK,27,1982,38,38,3420,38.0,44,1.16,149,105,70.5,17,7,14,14,36.8,,,,,
ENG-Premier League,1011,Manchester City,Joe Hart,ENG,GK,23,1987,38,38,3420,38.0,33,0.87,153,120,78.4,21,8,9,18,47.4,,,,,
ENG-Premier League,1011,Manchester Utd,Edwin van der Sar,NED,GK,39,1970,33,33,2970,33.0,32,0.97,125,93,74.4,19,10,4,14,42.4,,,,,
ENG-Premier League,1011,Manchester Utd,Tomasz Kuszczak,POL,GK,28,1982,5,5,450,5.0,5,1.0,14,9,64.3,4,1,0,1,20.0,,,,,
ENG-Premier League,1011,Newcastle United,Steve Harper,ENG,GK,35,1975,18,18,1564,17.4,22,1.27,68,46,67.6,5,6,6,4,22.2,,,,,
ENG-Premier League,1011,Newcastle United,Tim Krul,NED,GK,22,1988,21,20,1856,20.6,35,1.7,93,58,62.4,6,7,8,4,20.0,,,,,
ENG-Premier League,1011,Stoke City,Asmir Begović,BIH,GK,23,1987,28,28,2520,28.0,32,1.14,130,98,75.4,10,6,12,8,28.6,,,,,
ENG-Premier League,1011,Stoke City,Thomas Sørensen,DEN,GK,34,1976,10,10,900,10.0,16,1.6,46,30,65.2,3,1,6,1,10.0,,,,,
ENG-Premier League,1011,Sunderland,Craig Gordon,SCO,GK,27,1982,15,15,1350,15.0,21,1.4,81,60,74.1,6,3,6,5,33.3,,,,,
ENG-Premier League,1011,Sunderland,Simon Mignolet,BEL,GK,22,1988,23,23,2070,23.0,35,1.52,125,90,72.0,6,8,9,8,34.8,,,,,
ENG-Premier League,1011,Tottenham Hotspur,Carlo Cudicini,ITA,GK,36,1973,8,8,720,8.0,7,0.87,27,20,74.1,3,2,3,1,12.5,,,,,
ENG-Premier League,1011,Tottenham Hotspur,Heurelho Gomes,BRA,GK,29,1981,30,30,2700,30.0,39,1.3,156,117,75.0,13,12,5,7,23.3,,,,,
ENG-Premier League,1011,West Brom,Boaz Myhill,WAL,GK,27,1982,6,6,540,6.0,13,2.17,31,18,58.1,1,3,2,0,0.0,,,,,
ENG-Premier League,1011,West Brom,Scott Carson,ENG,GK,24,1985,32,32,2880,32.0,58,1.81,151,93,61.6,11,8,13,2,6.3,,,,,
ENG-Premier League,1011,West Ham United,Robert Green,ENG,GK,30,1980,37,37,3330,37.0,69,1.86,240,171,71.3,7,11,19,5,13.5,,,,,
ENG-Premier League,1011,West Ham United,Ruud Boffin,BEL,GK,22,1987,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,,,,,
ENG-Premier League,1011,Wigan Athletic,Ali Al-Habsi,OMA,GK,28,1981,34,34,3060,34.0,49,1.44,172,123,71.5,9,14,12,7,20.6,,,,,
ENG-Premier League,1011,Wigan Athletic,Chris Kirkland,ENG,GK,29,1981,4,4,331,3.7,12,3.26,22,10,45.5,0,1,2,0,0.0,,,,,
