MatchNumber,RoundNumber,Group,MatchDate,KickoffUTC,DateUtc,HomeTeam,AwayTeam,Location,HomeTeamScore,AwayTeamScore,Winner
1,1,Group A,2026-06-11,19:00,2026-06-11 19:00:00Z,Mexico,South Africa,Mexico City Stadium,,,""
2,1,Group A,2026-06-12,02:00,2026-06-12 02:00:00Z,Korea Republic,Czechia,Guadalajara Stadium,,,""
3,1,Group B,2026-06-12,19:00,2026-06-12 19:00:00Z,Canada,Bosnia and Herzegovina,Toronto Stadium,,,""
4,1,Group D,2026-06-13,01:00,2026-06-13 01:00:00Z,USA,Paraguay,Los Angeles Stadium,,,""
5,1,Group C,2026-06-14,01:00,2026-06-14 01:00:00Z,Haiti,Scotland,Boston Stadium,,,""
6,1,Group D,2026-06-14,04:00,2026-06-14 04:00:00Z,Australia,Türkiye,BC Place Vancouver,,,""
7,1,Group C,2026-06-13,22:00,2026-06-13 22:00:00Z,Brazil,Morocco,New York/New Jersey Stadium,,,""
8,1,Group B,2026-06-13,19:00,2026-06-13 19:00:00Z,Qatar,Switzerland,San Francisco Bay Area Stadium,,,""
9,1,Group E,2026-06-14,23:00,2026-06-14 23:00:00Z,Côte d'Ivoire,Ecuador,Philadelphia Stadium,,,""
10,1,Group E,2026-06-14,17:00,2026-06-14 17:00:00Z,Germany,Curaçao,Houston Stadium,,,""
11,1,Group F,2026-06-14,20:00,2026-06-14 20:00:00Z,Netherlands,Japan,Dallas Stadium,,,""
12,1,Group F,2026-06-15,02:00,2026-06-15 02:00:00Z,Sweden,Tunisia,Monterrey Stadium,,,""
13,1,Group H,2026-06-15,22:00,2026-06-15 22:00:00Z,Saudi Arabia,Uruguay,Miami Stadium,,,""
14,1,Group H,2026-06-15,16:00,2026-06-15 16:00:00Z,Spain,Cabo Verde,Atlanta Stadium,,,""
15,1,Group G,2026-06-16,01:00,2026-06-16 01:00:00Z,IR Iran,New Zealand,Los Angeles Stadium,,,""
16,1,Group G,2026-06-15,19:00,2026-06-15 19:00:00Z,Belgium,Egypt,Seattle Stadium,,,""
17,1,Group I,2026-06-16,19:00,2026-06-16 19:00:00Z,France,Senegal,New York/New Jersey Stadium,,,""
18,1,Group I,2026-06-16,22:00,2026-06-16 22:00:00Z,Iraq,Norway,Boston Stadium,,,""
19,1,Group J,2026-06-17,01:00,2026-06-17 01:00:00Z,Argentina,Algeria,Kansas City Stadium,,,""
20,1,Group J,2026-06-17,04:00,2026-06-17 04:00:00Z,Austria,Jordan,San Francisco Bay Area Stadium,,,""
21,1,Group L,2026-06-17,23:00,2026-06-17 23:00:00Z,Ghana,Panama,Toronto Stadium,,,""
22,1,Group L,2026-06-17,20:00,2026-06-17 20:00:00Z,England,Croatia,Dallas Stadium,,,""
23,1,Group K,2026-06-17,17:00,2026-06-17 17:00:00Z,Portugal,Congo DR,Houston Stadium,,,""
24,1,Group K,2026-06-18,02:00,2026-06-18 02:00:00Z,Uzbekistan,Colombia,Mexico City Stadium,,,""
25,2,Group A,2026-06-18,16:00,2026-06-18 16:00:00Z,Czechia,South Africa,Atlanta Stadium,,,""
26,2,Group B,2026-06-18,19:00,2026-06-18 19:00:00Z,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium,,,""
27,2,Group B,2026-06-18,22:00,2026-06-18 22:00:00Z,Canada,Qatar,BC Place Vancouver,,,""
28,2,Group A,2026-06-19,01:00,2026-06-19 01:00:00Z,Mexico,Korea Republic,Guadalajara Stadium,,,""
29,2,Group C,2026-06-20,01:00,2026-06-20 01:00:00Z,Brazil,Haiti,Philadelphia Stadium,,,""
30,2,Group C,2026-06-19,22:00,2026-06-19 22:00:00Z,Scotland,Morocco,Boston Stadium,,,""
31,2,Group D,2026-06-20,04:00,2026-06-20 04:00:00Z,Türkiye,Paraguay,San Francisco Bay Area Stadium,,,""
32,2,Group D,2026-06-19,19:00,2026-06-19 19:00:00Z,USA,Australia,Seattle Stadium,,,""
33,2,Group E,2026-06-20,20:00,2026-06-20 20:00:00Z,Germany,Côte d'Ivoire,Toronto Stadium,,,""
34,2,Group E,2026-06-21,00:00,2026-06-21 00:00:00Z,Ecuador,Curaçao,Kansas City Stadium,,,""
35,2,Group F,2026-06-20,17:00,2026-06-20 17:00:00Z,Netherlands,Sweden,Houston Stadium,,,""
36,2,Group F,2026-06-21,04:00,2026-06-21 04:00:00Z,Tunisia,Japan,Monterrey Stadium,,,""
37,2,Group H,2026-06-21,22:00,2026-06-21 22:00:00Z,Uruguay,Cabo Verde,Miami Stadium,,,""
38,2,Group H,2026-06-21,16:00,2026-06-21 16:00:00Z,Spain,Saudi Arabia,Atlanta Stadium,,,""
39,2,Group G,2026-06-21,19:00,2026-06-21 19:00:00Z,Belgium,IR Iran,Los Angeles Stadium,,,""
40,2,Group G,2026-06-22,01:00,2026-06-22 01:00:00Z,New Zealand,Egypt,BC Place Vancouver,,,""
41,2,Group I,2026-06-23,00:00,2026-06-23 00:00:00Z,Norway,Senegal,New York/New Jersey Stadium,,,""
42,2,Group I,2026-06-22,21:00,2026-06-22 21:00:00Z,France,Iraq,Philadelphia Stadium,,,""
43,2,Group J,2026-06-22,17:00,2026-06-22 17:00:00Z,Argentina,Austria,Dallas Stadium,,,""
44,2,Group J,2026-06-23,03:00,2026-06-23 03:00:00Z,Jordan,Algeria,San Francisco Bay Area Stadium,,,""
45,2,Group L,2026-06-23,20:00,2026-06-23 20:00:00Z,England,Ghana,Boston Stadium,,,""
46,2,Group L,2026-06-23,23:00,2026-06-23 23:00:00Z,Panama,Croatia,Toronto Stadium,,,""
47,2,Group K,2026-06-23,17:00,2026-06-23 17:00:00Z,Portugal,Uzbekistan,Houston Stadium,,,""
48,2,Group K,2026-06-24,02:00,2026-06-24 02:00:00Z,Colombia,Congo DR,Guadalajara Stadium,,,""
49,3,Group C,2026-06-24,22:00,2026-06-24 22:00:00Z,Scotland,Brazil,Miami Stadium,,,""
50,3,Group C,2026-06-24,22:00,2026-06-24 22:00:00Z,Morocco,Haiti,Atlanta Stadium,,,""
51,3,Group B,2026-06-24,19:00,2026-06-24 19:00:00Z,Switzerland,Canada,BC Place Vancouver,,,""
52,3,Group B,2026-06-24,19:00,2026-06-24 19:00:00Z,Bosnia and Herzegovina,Qatar,Seattle Stadium,,,""
53,3,Group A,2026-06-25,01:00,2026-06-25 01:00:00Z,Czechia,Mexico,Mexico City Stadium,,,""
54,3,Group A,2026-06-25,01:00,2026-06-25 01:00:00Z,South Africa,Korea Republic,Monterrey Stadium,,,""
55,3,Group E,2026-06-25,20:00,2026-06-25 20:00:00Z,Curaçao,Côte d'Ivoire,Philadelphia Stadium,,,""
56,3,Group E,2026-06-25,20:00,2026-06-25 20:00:00Z,Ecuador,Germany,New York/New Jersey Stadium,,,""
57,3,Group F,2026-06-25,23:00,2026-06-25 23:00:00Z,Japan,Sweden,Dallas Stadium,,,""
58,3,Group F,2026-06-25,23:00,2026-06-25 23:00:00Z,Tunisia,Netherlands,Kansas City Stadium,,,""
