team,lineup_source_type,formation,rows,unique_players,avg_overall,avg_pace,avg_defending,fc26_strict_matches,estimated_or_manual,match_result,source_lineup_url
Algeria,probable_pre_match_xi,4-2-3-1,11,11,76.5,70.3,66.5,9,2,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Saudi Arabia,probable_pre_match_xi,4-3-3,11,11,70.9,75.8,58.5,11,0,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Argentina,probable_pre_match_xi,4-3-3,11,11,83.1,71.3,70.8,10,1,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Australia,actual_match_starting_xi,5-4-1,11,11,67.4,66.6,59.5,11,0,Australia 2-0 Türkiye,https://www.foxsports.com/soccer/fifa-world-cup-men-australia-vs-turkiye-jun-14-2026-game-boxscore-647620
Austria,probable_pre_match_xi,4-2-3-1,11,11,78.6,74.2,68.6,9,2,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Belgium,probable_pre_match_xi,4-2-3-1,11,11,81.7,69.3,66.4,11,0,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Bosnia and Herzegovina,actual_match_starting_xi,4-4-2,11,11,72.1,63.8,59.4,10,1,Canada 1-1 Bosnia and Herzegovina,https://www.foxsports.com/soccer/fifa-world-cup-men-canada-vs-bosnia-and-herzegovina-jun-12-2026-game-boxscore-647618
Brazil,actual_match_starting_xi,4-2-3-1,11,11,83.9,70.8,70.3,10,1,Brazil 1-1 Morocco,https://www.foxsports.com/soccer/fifa-world-cup-men-brazil-vs-morocco-jun-13-2026-game-boxscore-647622
Canada,actual_match_starting_xi,4-4-2,11,11,73.9,74.8,63.4,9,2,Canada 1-1 Bosnia and Herzegovina,https://www.foxsports.com/soccer/fifa-world-cup-men-canada-vs-bosnia-and-herzegovina-jun-12-2026-game-boxscore-647618
Cabo Verde,probable_pre_match_xi,4-2-3-1,11,11,69.3,67.6,59.5,6,5,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Colombia,probable_pre_match_xi,4-2-3-1,11,11,79.1,73.5,65.5,10,1,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Korea Republic,actual_match_starting_xi,3-4-3,11,11,75.5,71.2,64.5,8,3,Korea Republic 2-1 Czechia,https://www.foxsports.com/soccer/fifa-world-cup-men-south-korea-vs-czechia-jun-11-2026-game-boxscore-647617
Côte d'Ivoire,probable_pre_match_xi,4-3-3,11,11,75.6,72.5,62.7,11,0,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Curaçao,probable_pre_match_xi,4-3-3,11,11,68.5,69.6,61.5,5,6,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Croatia,probable_pre_match_xi,4-2-3-1,11,11,78.7,68.7,63.5,11,0,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Ecuador,probable_pre_match_xi,4-3-3,11,11,75.0,74.0,65.1,10,1,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
Egypt,probable_pre_match_xi,3-4-1-2,11,11,77.5,73.2,63.4,3,8,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
France,probable_pre_match_xi,4-2-3-1,11,11,86.0,79.5,70.4,11,0,,https://www.goal.com/en/lists/probable-line-ups-world-cup-2026-starters-and-expected-starting-xi-of-the-48-national-teams/blt0d21c342d47a4cc2
